timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1652185520849,3801,archives,200,OK,HTML Dashboard Reports from command line 1-1,text,true,,54463,258,5,5,https://lifecharger.org/archives/,805,0,381
1652185520849,805,archives-0,301,Moved Permanently,HTML Dashboard Reports from command line 1-1,text,true,,520,129,5,5,http://lifecharger.org/archives/,805,0,381
1652185521655,2995,archives-1,200,OK,HTML Dashboard Reports from command line 1-1,text,true,,53943,129,5,5,https://lifecharger.org/archives/,2494,0,1152
1652185520975,3752,archives,200,OK,HTML Dashboard Reports from command line 1-2,text,true,,54453,258,5,5,https://lifecharger.org/archives/,648,0,249
1652185520975,650,archives-0,301,Moved Permanently,HTML Dashboard Reports from command line 1-2,text,true,,520,129,5,5,http://lifecharger.org/archives/,648,0,249
1652185521627,3100,archives-1,200,OK,HTML Dashboard Reports from command line 1-2,text,true,,53933,129,5,5,https://lifecharger.org/archives/,2599,0,1180
1652185521174,3600,archives,200,OK,HTML Dashboard Reports from command line 1-3,text,true,,54453,258,5,5,https://lifecharger.org/archives/,695,0,256
1652185521174,695,archives-0,301,Moved Permanently,HTML Dashboard Reports from command line 1-3,text,true,,520,129,5,5,http://lifecharger.org/archives/,695,0,256
1652185521870,2904,archives-1,200,OK,HTML Dashboard Reports from command line 1-3,text,true,,53933,129,5,5,https://lifecharger.org/archives/,2397,0,943
1652185521374,3405,archives,200,OK,HTML Dashboard Reports from command line 1-4,text,true,,54453,258,5,5,https://lifecharger.org/archives/,642,0,249
1652185521374,642,archives-0,301,Moved Permanently,HTML Dashboard Reports from command line 1-4,text,true,,520,129,5,5,http://lifecharger.org/archives/,642,0,249
1652185522017,2762,archives-1,200,OK,HTML Dashboard Reports from command line 1-4,text,true,,53933,129,5,5,https://lifecharger.org/archives/,2258,0,790
1652185521576,3328,archives,200,OK,HTML Dashboard Reports from command line 1-5,text,true,,54453,258,5,5,https://lifecharger.org/archives/,650,0,250
1652185521576,650,archives-0,301,Moved Permanently,HTML Dashboard Reports from command line 1-5,text,true,,520,129,5,5,http://lifecharger.org/archives/,650,0,250
1652185522227,2677,archives-1,200,OK,HTML Dashboard Reports from command line 1-5,text,true,,53933,129,5,5,https://lifecharger.org/archives/,2176,0,761
1652185524652,840,about,200,OK,HTML Dashboard Reports from command line 1-1,text,true,,33240,252,5,5,https://lifecharger.org/about/,400,0,0
1652185524652,400,about-0,301,Moved Permanently,HTML Dashboard Reports from command line 1-1,text,true,,564,126,5,5,http://lifecharger.org/about/,400,0,0
1652185525052,440,about-1,200,OK,HTML Dashboard Reports from command line 1-1,text,true,,32676,126,5,5,https://lifecharger.org/about/,436,0,0
1652185524727,897,about,200,OK,HTML Dashboard Reports from command line 1-2,text,true,,33240,252,5,5,https://lifecharger.org/about/,394,0,0
1652185524727,394,about-0,301,Moved Permanently,HTML Dashboard Reports from command line 1-2,text,true,,564,126,5,5,http://lifecharger.org/about/,394,0,0
1652185525121,503,about-1,200,OK,HTML Dashboard Reports from command line 1-2,text,true,,32676,126,5,5,https://lifecharger.org/about/,499,0,0
1652185524774,923,about,200,OK,HTML Dashboard Reports from command line 1-3,text,true,,33240,252,5,5,https://lifecharger.org/about/,401,0,0
1652185524774,401,about-0,301,Moved Permanently,HTML Dashboard Reports from command line 1-3,text,true,,564,126,5,5,http://lifecharger.org/about/,401,0,0
1652185525175,522,about-1,200,OK,HTML Dashboard Reports from command line 1-3,text,true,,32676,126,5,5,https://lifecharger.org/about/,518,0,0
1652185524779,949,about,200,OK,HTML Dashboard Reports from command line 1-4,text,true,,33245,252,5,5,https://lifecharger.org/about/,407,0,0
1652185524779,407,about-0,301,Moved Permanently,HTML Dashboard Reports from command line 1-4,text,true,,564,126,5,5,http://lifecharger.org/about/,407,0,0
1652185525186,542,about-1,200,OK,HTML Dashboard Reports from command line 1-4,text,true,,32681,126,5,5,https://lifecharger.org/about/,533,0,0
1652185524905,878,about,200,OK,HTML Dashboard Reports from command line 1-5,text,true,,33245,252,5,5,https://lifecharger.org/about/,380,0,0
1652185524905,380,about-0,301,Moved Permanently,HTML Dashboard Reports from command line 1-5,text,true,,564,126,5,5,http://lifecharger.org/about/,380,0,0
1652185525285,498,about-1,200,OK,HTML Dashboard Reports from command line 1-5,text,true,,32681,126,5,5,https://lifecharger.org/about/,489,0,0
1652185525492,1056,productivity,200,OK,HTML Dashboard Reports from command line 1-1,text,true,,37762,296,5,5,https://lifecharger.org/how-to-get-10x-productivity/,426,0,0
1652185525492,426,productivity-0,301,Moved Permanently,HTML Dashboard Reports from command line 1-1,text,true,,539,148,5,5,http://lifecharger.org/how-to-get-10x-productivity/,426,0,0
1652185525918,630,productivity-1,200,OK,HTML Dashboard Reports from command line 1-1,text,true,,37223,148,5,5,https://lifecharger.org/how-to-get-10x-productivity/,625,0,0
1652185525624,931,productivity,200,OK,HTML Dashboard Reports from command line 1-2,text,true,,37772,296,4,4,https://lifecharger.org/how-to-get-10x-productivity/,408,0,0
1652185525624,408,productivity-0,301,Moved Permanently,HTML Dashboard Reports from command line 1-2,text,true,,539,148,4,4,http://lifecharger.org/how-to-get-10x-productivity/,408,0,0
1652185526032,523,productivity-1,200,OK,HTML Dashboard Reports from command line 1-2,text,true,,37233,148,4,4,https://lifecharger.org/how-to-get-10x-productivity/,518,0,0
1652185525698,1065,productivity,200,OK,HTML Dashboard Reports from command line 1-3,text,true,,37762,296,3,3,https://lifecharger.org/how-to-get-10x-productivity/,573,0,0
1652185525698,573,productivity-0,301,Moved Permanently,HTML Dashboard Reports from command line 1-3,text,true,,539,148,3,3,http://lifecharger.org/how-to-get-10x-productivity/,573,0,0
1652185526271,492,productivity-1,200,OK,HTML Dashboard Reports from command line 1-3,text,true,,37223,148,3,3,https://lifecharger.org/how-to-get-10x-productivity/,487,0,0
1652185525728,1083,productivity,200,OK,HTML Dashboard Reports from command line 1-4,text,true,,37767,296,2,2,https://lifecharger.org/how-to-get-10x-productivity/,598,0,0
1652185525728,598,productivity-0,301,Moved Permanently,HTML Dashboard Reports from command line 1-4,text,true,,539,148,2,2,http://lifecharger.org/how-to-get-10x-productivity/,598,0,0
1652185526326,485,productivity-1,200,OK,HTML Dashboard Reports from command line 1-4,text,true,,37228,148,2,2,https://lifecharger.org/how-to-get-10x-productivity/,481,0,0
1652185525783,1076,productivity,200,OK,HTML Dashboard Reports from command line 1-5,text,true,,37762,296,1,1,https://lifecharger.org/how-to-get-10x-productivity/,583,0,0
1652185525783,583,productivity-0,301,Moved Permanently,HTML Dashboard Reports from command line 1-5,text,true,,539,148,1,1,http://lifecharger.org/how-to-get-10x-productivity/,583,0,0
1652185526366,493,productivity-1,200,OK,HTML Dashboard Reports from command line 1-5,text,true,,37223,148,1,1,https://lifecharger.org/how-to-get-10x-productivity/,488,0,0
